image,band,method,inlier_residual,num_inliers,NMI,GCC,crop_size
DJI_20251107113316_0023,NIR,Initial,NaN,5830,0.006612,0.040499,N/A
DJI_20251107113316_0023,NIR,Global,0.8631,2836,0.070337,0.240915,4289*3229
DJI_20251107113316_0023,NIR,Proposed,0.6468,5830,0.075342,0.267157,4328*3233
DJI_20251107113316_0023,RE,Initial,NaN,4973,0.005044,0.023741,N/A
DJI_20251107113316_0023,RE,Global,0.5827,2412,0.056181,0.251518,4289*3229
DJI_20251107113316_0023,RE,Proposed,0.6462,4973,0.060222,0.273567,4328*3233
DJI_20251107113320_0025,G,Initial,NaN,6745,0.004277,0.032494,N/A
DJI_20251107113320_0025,G,Global,0.5940,2868,0.073173,0.272277,3773*2633
DJI_20251107113320_0025,G,Proposed,0.5824,6745,0.081487,0.304394,4326*3229
DJI_20251107113320_0025,R,Initial,NaN,3492,0.009529,0.059158,N/A
DJI_20251107113320_0025,R,Global,1.0650,2135,0.048010,0.226449,3773*2633
DJI_20251107113320_0025,R,Proposed,0.9986,3492,0.050631,0.249512,4326*3229
DJI_20251107113320_0025,NIR,Initial,NaN,6457,0.007057,0.044025,N/A
DJI_20251107113320_0025,NIR,Global,0.5740,3037,0.078464,0.273683,3773*2633
DJI_20251107113320_0025,NIR,Proposed,0.5554,6457,0.084287,0.298344,4326*3229
DJI_20251107113320_0025,RE,Initial,NaN,5043,0.004839,0.017956,N/A
DJI_20251107113320_0025,RE,Global,0.9994,2434,0.060771,0.220435,3773*2633
DJI_20251107113320_0025,RE,Proposed,0.6296,5043,0.064944,0.247099,4326*3229
DJI_20251107113324_0027,G,Initial,NaN,5113,0.002937,0.019273,N/A
DJI_20251107113324_0027,G,Global,0.9741,2326,0.058055,0.185252,4259*1849
DJI_20251107113324_0027,G,Proposed,0.8820,5113,0.064309,0.216451,4306*3203
DJI_20251107113324_0027,R,Initial,NaN,3035,0.005572,0.034832,N/A
DJI_20251107113324_0027,R,Global,1.0703,1600,0.035211,0.178423,4259*1849
DJI_20251107113324_0027,R,Proposed,0.5997,3035,0.036521,0.191017,4306*3203
DJI_20251107113324_0027,NIR,Initial,NaN,4715,0.004213,0.023612,N/A
DJI_20251107113324_0027,NIR,Global,1.0820,2251,0.059791,0.198787,4259*1849
DJI_20251107113324_0027,NIR,Proposed,1.0466,4715,0.065327,0.222689,4306*3203
DJI_20251107113324_0027,RE,Initial,NaN,3392,0.002434,-0.000862,N/A
DJI_20251107113324_0027,RE,Global,1.0393,1950,0.045768,0.197713,4259*1849
DJI_20251107113324_0027,RE,Proposed,0.9864,3392,0.048620,0.217202,4306*3203
DJI_20251107113326_0028,G,Initial,NaN,5099,0.003219,0.025225,N/A
DJI_20251107113326_0028,G,Global,0.9683,2230,0.052036,0.180018,3814*2285
DJI_20251107113326_0028,G,Proposed,0.6717,5099,0.056734,0.208178,4327*3203
DJI_20251107113326_0028,R,Initial,NaN,3099,0.006235,0.041379,N/A
DJI_20251107113326_0028,R,Global,1.1458,1578,0.031846,0.169011,3814*2285
DJI_20251107113326_0028,R,Proposed,0.8545,3099,0.033762,0.185364,4327*3203
DJI_20251107113326_0028,NIR,Initial,NaN,3822,0.005451,0.031845,N/A
DJI_20251107113326_0028,NIR,Global,1.0331,1793,0.047532,0.172668,3814*2285
DJI_20251107113326_0028,NIR,Proposed,0.6048,3822,0.051767,0.189752,4327*3203
DJI_20251107113326_0028,RE,Initial,NaN,3450,0.003799,0.011375,N/A
DJI_20251107113326_0028,RE,Global,0.9835,1696,0.039507,0.153078,3814*2285
